Mineral_Name,LOCALITY,Type,Note
Rosasite,Rosas mine,1,
Rosiaite,Rosia,3,
Rosièresite,Rosie`res mine,1,
Rosstrevorite,Rosstrevor,3,"A fibrous stellate variety of Epidote, from Rosstrevor, Co.Down, Ireland."
Roterbärite,Roter Bär Mine,1,"Roter Bär Mine, St Andreasberg, Braunlage, Goslar, Lower Saxony, Germany"
Rouaite,Roua copper mines,1,"For the copper mines, from which the mineral was first described."
Roumaite,Rouma Island,1,
Rouvilleite,Rouville Co.,2,
Rowleyite,Rowley Mine,1,For the mine that produced the first specimens
Roxbyite,Roxby Downs,3,
Rudabányaite,Rudabánya,1,
Rumanite,Romania,4,Opal or Amber from Romania
Rumoiite,Rumoi Subprefecture,3,"Minamichiyoda, Shosanbetsu, Tomamae District, Rumoi Subprefecture, Hokkaidō, Japan"
Russian Jasper,Russia,4,Jasper from Russia
Rustenburgite,Rustenburg mine,1,
Sabieite,Sabie,3,
Sabugalite,For Sabugal Co.,3,
Sacrofanite,Sacrofano volcanic area,3,
Saddlebackite,Saddleback greenstone belt,3,
Sailaufite,Sailauf,3,
Saimaite,Saima complex,1,"For the Saima complex, Fengcheng County, Liaoning Province, China, from where it has been reported"
Salite,Sala,3,"Originally reported from Sala, Västmanland, Sweden."
Salmanca topaz,Salmanca,3,Derived from the locality of occurrence
Salmoite,Hudson Bay Mine,1,"After the locality, the Hudson Bay Mine, Salmo, British Columbia, Canada"
Saltonseaite,Salton Sea,1,
Salzburgite,Salzburg,3,
Samaniite,Samani-cho,2,For the region of Japan from which the first specimens were collected.
Samiresite,Samiresy,1,"After the locality at Samiresy, Madagascar."
Samsonite,"Samson Vein of Andreasberg silver mines, Harz Mountains",1,
Sangenaroite,San Genaro Mine,1,"Castrovirreyna District, Castrovirreyna Province, Huancavelica, Peru"
Sanjuanite,San Juan Province,3,
Sanmartinite,San Martin,3,
Santabarbaraite,Santa Barbara mining district,1,
Santaclaraite,"Santa Clara Co., California",3,
Santanaite,Santa Ana mine,1,
Santarosaite,Mina Santa Rosa,1,Named for the mine that produced the first specimens.
Sarabauite,Sarabau mine,1,
Sarawakite (of Frenzel),Sarawak,2,"Originally reported from Sarawak, Malaysia"
Sardignaite,Sardigna (Sardinia),1,
Sarrabusite,Sarrabus,2,
Saryarkite-(Y),Saryarka,1,Kazakh name for the steppes area of central Kazakhstan
Sassolite,Sasso,1,
Satimolite,Satimola salt dome,1,
Sauconite,Saucon Valley,3,
Saxon chrysolite,Saxon,2,Derived from the locality of occurrence
Saxon diamond,Saxon,2,Derived from the locality of occurrence
Scarbroite,Scarborough,3,
Scawtite,Scawt Hill,1,
Schapbachite,Schapbach,3,
Schaumburger Diamant,Schloss Schaumburg,1,"They occur in the area of the Rumbeck Mtn (Taubenberg Mtn), Hohenrode, Rinteln, Lower Saxony, Germany.  The name is derived from the nearby Castle Schaumburg ('Schloss Schaumburg')."
Schlemaite,Schlema-Hartenstein District,2,
Schneebergite,Schneeberg,2,
Schneebergite (of Brezina),Schneeberg Mine,1,The origin of the name is the Monteneve Mine (Schneeberg Mine)
Schoharite,Schoharie Township,3,"After the locality in Schoharie Township, Schoharie County, New York, USA."
Schulenbergite,Glücksrad mine,1,
Scorticoite,Scortico manganese mine,1,"Fivizzano, Massa-Carrara Province, Tuscany, Italy"
Scotlandite,Scotland,4,
Seidite-(Ce),Seidozero,3,"literally Lake Seid, the central lake in the Lovozero complex"
Seidozerite,Seidozero,3,"literally Lake Seid, the central lake in the Lovozero complex"
Seiland Zircon,Seiland Island,1,"From Seiland Island, Norway"
Seinäjokite,Seinäjoki,3,
Senegalite,Senegal,4,
Serra topaz,Serra,1,Derived from the locality of occurrence
Serrabrancaite,Serra Branca pegmatite,1,
Shabaite-(Nd),Shaba,2,For a former name of Katanga Province
Shattuckite,"Shattuck mine, Bisbee, Arizona",1,
Sheridanite,Sheridan Co.,2,For locality
Shigaite,Shiga Prefecture,3,
Shinkolobweite,"Shinkolobwe, Kambove District, Katanga (Shaba)",3,
Shkatulkalite,Shkatulka pegmatite,1,
Shomiokite-(Y),Shomiok River,3,"For the River, in the Lovozero massif, flowing near Mt. Alluaiv, where the mineral was first found."
Shosanbetsuite,Shosanbetsu,3,"Minamichiyoda, Shosanbetsu, Tomamae District, Rumoi Subprefecture, Hokkaidō, Japan"
Shuangfengite,"Shuangfeng village, Xinglong Co., Chengde Prefecture, Hebei Province",1,
Shungite,Shun'ga,3,"Originally desribed from Shun'ga area, Shun'ga village, Onega lake, Karelia Republic, Northern Region, Russia"
Siamese aquamarine,Siamese,1,Derived from the locality of occurrence
Siberian Amethyst,Siberia,2,Amethyst from Siberia in Russia
Siberian chrysolite,Siberia,2,Derived from the locality of occurrence
Siberian ruby,Siberia,2,Derived from the locality of occurrence
Siberite,Siberia,2,From the location
Sibirskite,Siberia,2,
Siegenite,Siegen district,3,
Sigloite,"Siglo XX mine, Llallagua",1,
Silesiaite,Silesia,2,"For Silesia, Latin name of Śląsk, which is a large area occupying >50% of the southern (south-west and south) part of Poland, and where the type locality is situated"
Silfbergite (of Niggli),Västra Silvberg,1,"After the locality Väster Silfberg (Västra Silvberg), Ludvika, Dalarna, Sweden."
Simetite,Simeto river,1,"Named for the locality, the mouth of the Simeto river in Catania city, Sicily."
Simferite,Simferopol,3,
Sincosite,Sincos,3,
Sinhalite,Sinhala,1,From the Sanskrit name for Ceylon.
Sinjarite,Sinjar,3,
Sitaparite,Sitapár,1,"After the locality of Sitapár, Central Provinces, India."
Siwaqaite,North Siwaqa complex,1,"Daba-Siwaqa complex, Transjordan Plateau"
Skaergaardite,Skaergaard intrusion,1,
Skorpionite,Skorpion Mine,1,
Skutterudite,Skutterud,1,
Slavkovite,Horní Slavkov,3,
Smamite,Ste Marie-aux-Mines,3,Based on the acronym for it's type locality Ste Marie-aux-Mines
Smrkovecite,Smrkovec,1,
Sobotkite,Sobótka,3,"Named for the type locality, Sobótka in Poland, from which it was originally described in 1976."
Sogdianite,Sogdiana,2,an ancient Central Asian state.
Solongoite,Solongo deposit,1,
Somersetite,Somerset,1,"Named for the county of Somerset, England, which include the type locality."
Sommaite,Mount Somma,1,
Sonolite,Sono mine,1,
Sonoraite,Sonora,2,
Sopcheite,Sopcha Mountain,1,
Spanish topaz,Spain,4,Derived from the locality of occurrence
Spartalite,Sparta,3,"Sparta (now Ogdensburg), New Jersey, USA"
Spessartine,Spessart,1,
Spheniscidite,sphenisciformes,1,"From the order name for the penguins of Elephant Island, British Antarctic Territory, Antarctica, the discovery locality."
Spionkopite,Spionkop Creek,1,
Springcreekite,Spring Creek Mine,1,
Squawcreekite,Squaw Creek Mine,1,"Named after its discovery locality, the Squaw Creek Mine, Taylor Creek Tin District (Black Range Tin District), Sierra Co., New Mexico, USA."
Srilankite,Sri Lanka,4,
Starkeyite,Starkey mine,1,
Staročeskéite,Staročeské Lode,1,
Stassfurtite,Stassfurt,3,For its type locality
Stavelotite-(La),Stavelot Massif,1,
Sterlinghillite,"Sterling Hill mine, New Jersey",1,
Stetindite,"Stetind pegmatite, Tysfjord, Nordland",1,
Stetindite-(Ce),"Stetind pegmatite, Tysfjord, Nordland",1,
Stewartite,"Stewart mine, Pala, California",1,
Stewartite (of Sutton),"Stewart mine, Pala, California",1,
Stillwaterite,Stillwater mafic complex,1,
Stone Canyon Jasper,Stone Canyon,1,"From Stone Canyon (near San Miguel), California"
Stornesite-(Y),Stornes Peninsula,3,"where the type locality is situated, and for Yttrium being the dominant REE element in its composition."
Strontianite,Strontian,1,
Studenitsite,Studenitsa Cloister,3,
Suanite,Suan District,3,
Sudburyite,Sudbury,3,
Sukulaite,Sukula Pegmatites,1,"From Sukula Pegmatites, Tammela, Southern Finland Region, Finland"
Suolunite,Suolun,3,
Surinamite,Surinam,4,
Surite,Cruz del Sur mine,1,
Surkhobite,Surkhob river,1,"For the river, in the basin of which the first specimens were collected."
Sursassite,Sursass,1,From the Roman name for Oberhalbstein
Susannite,Susanna mine,1,
Suseinargiuite,Su Seinargiu,3,For the locality that produced the first specimens
Sussexite,Sussex Co.,3,
Suttroper Quarz,Suttrop,3,For its type locality
Sverigeite,Sweden,4,"For the country where the mineral was found, Sweden, Sverige in Swedish."
Svornostite,Svornost mine,1,
Swamboite,Swambo,1,
Swamboite-(Nd),Swambo,1,
Sweetwater Agate,Sweetwater River,1,"Found in the Sweetwater River, Wyoming"
Sylvanite,TranSYLVANia,1,
Syrian Garnet,Syria,4,
Szklaryite,Szklary pegmatite,1,
Szomolnokite,Szomolnok,3,
Taconite,Taconic Mountains,1,
Tadzhikite-(Ce),Tajikistan,4,
Tagilite,Nizne Tagilsk,3,"After the locality at Nizne Tagilsk, Urals Region, Russia"
Taikanite,Taikan Mountains,1,
Taimyrite,Taymyr,2,"Named after its discovery locality, the Talnakh deposit, Noril'sk-Talnakh Ni-Cu camp, Taymyr autonomous district, Russia"
Taipingite-(Ce),Taiping town deposit,1,Taipingzhen deposit
Takanawaite-(Y),Mt Takanawa,1,
Takovite,Takovo,3,
Talmessite,Talmessi mine,1,
Talnakhite,Talnakh area,3,
Tamaite,Shiromaru Mine,1,
Tamarugite,Tamarugal Pampa,1,
Tamboite,Tambo Mine,1,
Tancoite,Tanco mine,1,
Taneyamalite,Taneyama mine,1,
Tangdanite,Tangdan Mine,1,
Tangeite,Tange Gorge,1,
Tanohataite,Tanohata mine,1,
Tanzanite,Tanzania,4,"First reported from the Merelani Hills (Mererani), Tanzania."
Taramite,"Walitarama, Mariupol",1,
Taranakite,Taranaki Peninsula,3,
Tarapacáite,Tarapacá,3,
Tarasovite,Tarasovka,3,"Named for the type locality Nagolnaya Tarasovka, Donbas region, Ukraine (FSU)"
Taraspite,Tarasp,3,For the discovery locality.
Tarbagataite,Tarbagatai mountain,2,For the mountain range where the Verkhnee Espe deposit that produced the first specimens is located.
Tarnowitzite,Tarnowskie Góry (Tarnowitz),1,Named in 1841 by August Breithaupt for the type locality.
Taseqite,"Taseq slope, Illimaussaq complex",1,For the Taseq slope of the Ilímaussaq alkaline complex near which the first specimens were collected.
Tashelgite,Taghelga River valley,1,
Tassieite,"Tassie Tarn, Stornes Peninsula, Larsemann Hills",3,
Tauriscite,TAURISCorum,1,"After the locality of Wingdälle, Uri, Switzerland (Pagus TAURISCorum of the Romans)"
Tavagnascoite,"Tavagnasco, Turin, Piedmont",3,For the district that produced the first specimens .
Tavistockite,Tavistock,1,"After the locality at Tavistock, Devonshire, England, UK"
Tawmawite,Tawmaw,1,"Originally reported from Tawmaw (Tawhmaw; Taw Maw), Myitkyina-Mogaung District, Kachin State, Myanmar (Burma)."
Tazheranite,"Tazheran (Tazheranskii) alkaline complex, Baikal Alkaline Province",1,
Taznite,Tazna,1,"After the locality at Tazna, Bolivia."
Teineite,Teine mine,3,
Teis Sphere,Teis,3,From Tiso (Teis) in Italy
Temagamite,Temagami mine,1,
Tengchongite,"Tengchong District, Yunnan Province",3,
Terlinguacreekite,Terlingua Creek,3,
Terlinguaite,"Terlingua, Texas",1,
Terranovaite,Terranova Bay,3,Italian Antarctic Station at Terranova Bay.
Terskite,Tersk shore of the White Sea,3,Tersk is an old name for the Kola peninsula.
Teruelite,Teruel,3,For the discovery locality
Texasite (of Crook),Texas,2,
Therasiaite,Therasia,1,"For the type locality, Therasia, one of the ancient names for Vulcano island (from the Greek for 'warm earth')."
Thermessaite,Thermessa,1,"For Thermessa (warm island), an ancient Greek name for the island of Vulcano."
Thorikosite,Thorikos,1,"an ancient town in Greece, where ores obtained from the nearby Laurium mines were smelted"
Thulite,Thule,1,"Named after ""Thule"", the ancient name of Scandinavia (and mythical island)."
Thuringite,Thuringian Forest,1,"First reported from Reichmannsdorf, Thuringian Forest, Thuringia, Germany."
Tianhuang Stone,Tianhuang,3,
Tienshanite,Tien Shan (Tien Mountains),1,
Tinticite,East Tintic distict,2,
Tintinaite,Tintina mines,1,
Tinzenite,Tinzen,3,
Tiptopite,Tip Top mine,1,
Tirodite,Tirodi,3,"Named after the (then) type locality of Tirodi, India."
Tissintite,Tissint,3,"The mineral name is after the host Tissint meteorite, which in turn is named after the town of Tissint, Morocco, where the meteorite fell. It fell on 18 July 2011 and is only the fifth Martian meteorite that people have witnessed falling to Earth."
Tobelite,Tobe,3,
Tobermorite,Tobermory,3,
Todorokite,Todoroki Mine,1,
Tokkoite,Tokko River,3,
Tokyoite,Tokyo Metropolis,3,
Tolbachite,Tolbachik volcano,3,
Tolovkite,Tolovka River,1,
Tongbaite,Tongbai,3,
Tooeleite,Tooele County,3,
Torbanite,Torbane Hill,1,"Torbanite is named after Torbane Hill near Bathgate in Scotland, its main location of occurrence."
Torrecillasite,Torrecillas mine,1,
Toturite,Totur River,3,Totur is also the name of a Balkarian god.
Tounkite,Tounka Valley,3,
Toyohaite,Toyoha Mine,1,
Trabzonite,Trabzon,2,
Tranquillityite,Sea of Tranquility,1,
Transjordanite,Transjordan Plateau,1,
Transvaal Jade,Transvaal,1,In allusion to its green color and locality of occurrence in South Africa (Transvaal).
Traversellite,Traversella Mine,1,"Originally reported from Traversella Mine, Traversella, Chiusella Valley, Canavese District, Torino Province, Piedmont, Italy."
Travertine,Tibur,1,"The word 'travertine' is derived from the Italian travertino, itself a derivation of the Latin tiburtinus 'of Tibur'. Its namesake is also the origin of Tivoli, a district near Rome."
Treasurite,the Treasure Vault Mine,1,
Trébeurdenite,Trebeurden,3,
Tremolite,Tremola Valley,3,
Trimounsite-(Y),Trimouns talc deposit,1,
Tripuhyite,Tripuhy Mine,1,
Trogtalite,Trogtal quarry,1,
Tsavorite,Tsavo East National Park,1,"Park in Kenya, which lies near where tsavorite was originally found."
Tschermigite,Tschermig (now Cermniky),1,
Tsilaisite,Tsilaizina,3,
Tsugaruite,Tsugaru-gun,3,
Tsumebite,Tsumeb,1,
Tsumoite,Tsumo mine,1,
Tugtupite,Tugtup Agtâkorfia,3,
Tulameenite,"Tulameen and Similkameen Rivers, British Columbia",3,
Tuliokite,"Tuliok River, Khibiny massif",3,
Tululite,Tulul Al Hammam,1,"(Arabic for Pigeon Hills) located in the northern Siwaqa area, where the mineral was found."
Tumchaite,"Tumcha River, near the Vuoriyarvi massif",3,
Tundrite,Lovozero tundra,2,
Tungusite,Tunguska River,1,
Tunisite,Tunisia,4,
Tuperssuatsiaite,Tuperssuatsiait Bay,1,
Turanite,Turan region,2,
Turgite,Turginsk Mine,1,"Originally described from Turjinskii Mine (Turginsk Mine), Turjinsk, Turya River, Krasnoturjinsk (Bogolovsk; Krasnotur'insk; Krasnoturyinsk), Ekateriinburgskaya (Sverdlovskaya) Oblast', Middle Urals, Urals Region, Russia"
Turkestanite,Turkestan Ridge,1,
Turtmannite,Turtmann Valley,3,
Tuscanite,Tuscany region,2,
Tusionite,Tusion River,1,
Tuzlaite,Tuzla,3,
Tvedalite,Tvedalen area,3,
Tveitite-(Y),John Tveit,1,
Tyretskite,Tyret station,1,
Tyrolite,Tirol (Tyrol),2,
Tyuyamunite,Tyuya-Muyun Cave,1,
Uakitite,Uakit iron meteorite,1,"Uakit iron meteorite, Baunt District, Buriatia Republic (Buryatia), Zabaykalsky Krai"
Uchucchacuaite,Uchuc-Chacua deposit,1,
Uduminelite,Mt Uzumine,1,
Uintahite,Utah,2,Found only in Utah and W Colorado
Ulvöspinel,Ulvö Islands,1,
Umangite,Sierra de Umango,1,
Umbalite,Umba River,1,"Originally described from Umba River (Umba Valley), Tanga Region, Tanzania in 1978."
Umbite,Lake Umb,1,
Umbozerite,Lake Umbozero,1,
Umbrianite,Umbria,1,
Unakite,Unakas mountains,1,It was first discovered in the United States in the Unakas mountains of North Carolina from which it gets its name
Ungavaite,Ungava region,2,
Ungursaite,Ungursai,1,"Originally reported from Ungursai Ta Deposit, Irtysh River, Kalba Range, Shyghys Qazaqstan Oblysy (Vostochno-Kazakhstanskaya [Eastern-Kazakhstan] Oblast'), Kazakhstan"
Ural sapphire,Ural,1,Derived from the locality of occurrence
Uralborite,URAL Mountains,1,
Uralite,Ural,2,"Originally described from the Urals Region, Russia."
Uralolite,URAL Mountains,1,
Uranocircite,CIRCes,1,"The name reflects its discovery locality, Falkenstein (Falcon's Stone) - the Greek κίρκος for ""CIRCes"" meaning ""falcon."""
Urvölgyite,Urvölgy,1,"After the locality of Urvölgy (Spania Dolina, and later Herrengrund), Slovak Republic"
Ustarasite,Ustarasai deposit,1,
Usturite,Ustur,1,
Utahite,Utah,2,
Uvite,Uva Province,2,
Uzonite,Uzon caldera,1,
Vaalite,Vaal river,1,"Originally described from Vaal river, South Africa."
Valencianite,Valenciana Mine,1,"After the ""type locality"" at the Valenciana Mine, Guanajuato, Mexico"
Varennesite,Demix-Varennes quarry,1,
Variscite,Variscia,3,"an old name for Vogtland, the district in Germany which was the original source for the mineral."
Varulite,"VARUträsk, Västerbotten",1,
Vashegyite,Vashegy,1,"now Zelezník, near Szirk"
Västmanlandite-(Ce),Västmanland,2,
Vegasite,Las Vegas,3,"After Las Vegas, Nevada, USA, which is a city near the type locality"
Vendidaite,La Vendida Mine,1,
Veracruz Amethyst,Vera Cruz,3,"Amethyst crystals from Vera Cruz, Mexico"
Verbierite,"Verbier, Bagnes Valley, Wallis (Valais)",3,
Versiliaite,"Versilia Valley, Tuscany",3,
Vesuvianite,Vesuvius,3,
Vicanite-(Ce),"Vican (Vico Lake) volcanic complex, Latium, Viterbo",3,
Viennese turquoise,Vienna,3,Derived from the locality of occurrence
Vigezzite,"Vigezzo valley, Piedmont",3,
Vihorlatite,Vihorlat Mountains,3,
Viitaniemiite,Viitaniemi pegmatite,1,
Vilateite,La Vilate,1,"From the locality at La Vilate near Chanteloube, France."
Villamaninite,Villamanín,3,
Viluite,Wilui River,1,"Named for the Wilui River region, Saha Republic (Yakutia), Russia"
Viséite,Visé,3,
Vishnevite,"Vishnevy Gory, Urals",3,
Vitimite,Vitimskoe plateau,1,
Vittinkiiite,Vittinki iron mine,1,"Named for the Vittinki iron mines, Finland, the type locality."
Vladimirite,Vladimirovskoye deposit,1,
Volaschioite,Forno de Volaschio,1,"Derived from the ancient name for the first known locality, believed to be derived from forno (furnace) and Volaschio (a locally significant proper noun)."
Vorlanite,Mt Vorlan,1,
Vorontsovite,Vorontsovskoe,1,
Vozhminite,Vozhmin massif,1,
Vulcanite,Vulcan,1,
Vulpinite,Costa Volpino,3,"Originally reported from Costa Volpino, Camonica Valley, Lombardy, Italy."
Vuonnemite,Vuonnemiok River,1,
Vuoriyarvite-K,Vuoriyarvi alkai-ultrabasic massif,1,
Vyuntspakhkite-(Y),"Mt. Vyuntspakhk,",1,
Wairakite,Wairakei,3,
Wairauite,Wairau Valley,3,
Wakefieldite,Wakefield,3,"Named for the town near the type locality, the Evans-Lou pegmatite."
Wallisite,Wallis,1,
Wallkilldellite,Wallkill River,1,
Walpurgite,Walpurgis vein,1,
Wampenite,Wampen,3,
Warwickite,Warwick,3,
Wascoite,Wasco,3,"Jasper from Wasco Co., Oregon"
Washingtonite,Washington,3,"For the locality at Washington, Litchfield Co., Connecticut, USA."
Weddellite,Weddell Sea,1,
Weilerite,the Michael Mine at Weiler,1,
Weinebeneite,"Weinebene Pass, Koralpe",3,
Weishanite,Weishancheng ore field,3,
Wermlandite,Värmland (Wermland),3,
Wesselsite,Wessels mine,1,
Wheatleyite,"Wheatley mine, Pennsylvania",1,
Whitecapsite,"White Caps mine, Nye Co., Nevada",1,
Wickenburgite,"Wickenburg, Arizona",3,
Widgiemoolthalite,Widgiemooltha,3,
Wildenauerite,Wildenauer-Grube,1,"from the old name for the Hagendorf Süd quarry = Wildenauer-Grube, at the mine where the mineral was found."
Wilkite,Willow Creek,1,"A yellow, purple, pink, and green jasper from Willow Creek, Ada County, Idaho, USA."
Willyamite,"Willyama Township, New South Wales",3,
Wiluite,"Wilui River region, Saha Republic (Yakutia)",3,
Windhoekite,Windhoek,3,
Windmountainite,Wind Mountain,1,"Named for Wind Mountain, New Mexico, USA, the type locality."
Wittichenite,Wittichen,3,
Wodginite,"Wodgina, Marble Bar, Western Australia",1,
Wölsendorfite,Wölsendorf,1,
Wupatkiite,Wupatki pueblo,1,"For the prehistoric Wupatki Indian pueblos, now a National Monument, nearby the Cameron district, Arizona"
Wycheproofite,"Wycheproof granite quarry, Wycheproof",1,
Xiangjiangite,Xiang Jiang (Hsiang Chiang) River,3,
Xifengite,"""Xifengkou""",3,"an eastern passageway of the Great Wall in the Yan Mts (Yan Shan), where the type locality is situated."
Xilingolite,Xilin Gol,3,in standard Chinese phonetics: Xilinguole
Ximengite,Ximeng tin mining district,3,
Xingshaoite,Xinshao Co.,2,"Originally reported from Xinshao Co., Shaoyang Prefecture, Hunan Province, China."
Xingzhongite,Presumably for the undefined Chinese type locality.,1,
Xitieshanite,Xitieshan Pb-Zn deposit,1,
Xiuyan Jade,Xiuyan,3,"Named for the occurrence at Xiuyan, Liaoning Province, China."
Xonotlite,Tetela de Xonotla,1,
Yakutite,Yakutia,2,The Republic of Sakha (Yakutia)
Yamaguchilite,Yamaguchi,3,"Originally described from Yamaguchi, Kiso, Nagano prefecture, Chubu region, Honshu Island, Japan."
Yamatoite,Yamato mine,1,"Originally reported from Yamato mine, Amami-Oshima Island, Kagoshima Prefecture, Nansei Archipelago, Japan."
Yancowinnaite,Yancowinna County,3,
Yarlongite,Yarlong Zangbo River,3,
Yaroslavite,Yaroslavsk deposit,1,
Yarrowite,Yarrow Creek,1,
Ye'elimite,Har Ye'elim and Nahal Ye'elim,1,"the most conspicuous hill and wadi in the Hatrurim basin, Israel."
Yecoraite,Yecora,3,
Yimengite,Yimeng Mountain area,1,
Yingjiangite,Yingjiang County,3,
Yixunite,Yixun River,3,
Yiyangite,Yiyang,3,"For the discovery locality in Yiyang City of Hunan Province, China."
Yowah Nut,Yowah,1,"Originally reported from Yowah opal field, Queensland, Australia."
Yuanjiangite,Yuanjiangite locality,1,
Yugawaralite,Yugawara Hot Spring,1,
Yukonite,Yukon,2,
Yuksporite,"Mount Yukspor, Khibina alkaline complex",3,
Zabuyelite,Zhabuye Salt Lake,3,
Zagamiite,Zagami Martian meteorite,1,
Zaïrite,Zaïre,3,now the Democratic Republic of the Congo
Zálesíite,Zálesí uranium deposit,1,
Zangboite,Yarlong Zangbo Rive,3,
Zeiringite,Oberzeiring,3,"For its first noted occurrence near Oberzeiring, Styria, Austria"
Zeravshanite,Zeravshan Range,1,
Zhamanshinite,Zhamanshin,1,Tektites from the Zhamanshin meteor crater.
Zharchikhite,Zharchikha deposit,1,
Zimbabweite,Zimbabwe,4,
Ziminaite,Zimina volcano,1,
Zincovelesite-6N6S,Veles,3,The rootname velesite is given for the discovery locality near the city of Veles.
Zinnwaldite,Zinnwald,3,Zinnwald was named for its tin deposits.
Zlatogorite,Zlatoya Gora deposit,1,
Zuktamrurite,Zuk Tamrur oil field,3,
Zunyite,Zuni mine,1,
Zwieselite,Zwiesel and Rabenstein,3,
Tilkerodeite,Tilkerode,1,"Eskaborn Adit, Tilkerode (Abberode), Harz, Saxony-Anhalt, Germany"
Freitalite,Freital,1,"Carola Mine (Königin Carola Mine; Paul Berndt Mine), Freital, Sächsische Schweiz-Osterzgebirge, Saxony, Germany"
Johanngeorgenstadtite,Johanngeorgenstadt,1,"Johanngeorgenstadt, Erzgebirgskreis, Saxony, Germany"
Chukotkaite,Chukotka,2,"Levyi Vulvyveem river valley, Amguema river basin, Iultinsky District, Chukotka Autonomous Okrug, Russia"
Cuyaite,Cuya,3,After the Cuya village located nearby the type locality
Brattforsite,Brattfors Mine,1,"Brattfors Mine, Nordmark Odal Field (Nordmarksberg), Filipstad, Värmland County, Sweden"
