name,relation,note
Phosinaite,,"For its major constituents - a phosphate silicate of sodium (latin, ""natrium"")"
Phosinaite-(Ce),,"For PHOsphorus, SIlicon, and sodium, NAtrium, in the composition and Ce dominant Rare earth element"
Phosphammite,,As a PHOSPHate of AMMonium.
Phosphate-Allophane,Allophane,A variety of Allophane containg 7.97% P2O5
Phosphoellenbergerite,Ellenbergerite,Named as the phosphate analogue of ellenbergerite.
Phosphoferrite,,"For PHOSPHOrus and iron, FERRum, in the composition."
Phosphofibrite,,For phosphorus in the composition and its characteristic fibrous habit.
Phosphogartrellite,Gartrellite,As the phosphate analog of gartrellite.
Phosphohedyphane,Hedyphane,For its phosphate content and relationship with Hedyphane.
Phosphoinnelite,Innelite,For its chemical composition as the P-analog of innelite.
Phosphophyllite,,"From phosphate in the composition, and the Greek for cleavage."
Phosphoralunogen,Alunogen,A variety of Alunogen containing some P2O5
Phosphorite,,Lithified phosphate-rich sediments.
Phosphorrösslerite,Rösslerite,As the phosphate analog of rösslerite.
Phosphoscorodite,Scorodite,A variety of Scorodite
Phosphosiderite,,From phosphorus and the Greek for iron in the composition.
Phosphovanadylite,,For phosphorus and vanadyl vanadium in the composition.
Phosphovanadylite-Ba,Phosphovanadylite,"For phosphorus and vanadyl vanadium in the composition and the suffix for barium, the dominant extra-framework cation."
Phosphovanadylite-Ca,Phosphovanadylite,"As the Ca analog of phosphovanadylite, which is now renamed as phosphovanadylite-Ba."
Phosphowalpurgite,Walpurgite,"Signifies the (PO4)-dominant composition, phospho, and structural relationship to walpurgite."
Phosphuranylite,,For phosphorus and uranyl uranium in the composition.
Phoxite,,Unique combination of anions: the first mineral with essential (hydroxy)phosphate and oxalate anions.
Phuralumite,,"For PHosphorus, URanium, and ALUMinum in the composition."
Phurcalite,,"For PHosphorus, URanium, and CALcium in the composition."
Phylloretine,Retinite,Retine derived from Retinite (a resinous hydrocarbon mineral)
Picrochromite,Chromite,The hypothetical Magnesium Chromium end-member of the Spinel series.
Picrocrichtonite,Crichtonite,A magnesian variety of ilmenite that is similar to Crichtonite
Picroilmenite,Ilmenite,A Mg-rich variety of ilmenite.
Picropharmacolite,Pharmacolite,"In allusion to its magnesium content, and its chemical similarity to pharmacolite."
Picrotitanite,Titanite,A magnesian variety of ilmenite that is similar to titanite
Piemontite-(Pb),Piemontite,As a lead (Pb) dominant member of the epidote group.
Piemontite-(Sr),Piemontite,From its strontium content and similarity to piemontite.
Platarsite,,"The name reflects its composition: platinum, arsenic and sulphur. The related minerals osarsite, irarsite, and ruarsite are similarly named."
Platinian Gold,Gold,A platinum-rich variety of gold.
Platiniferous Palladium,Palladium,"A variety of Palladium containing a higher than usual percentage of Platinum, up to 50% Pt"
Platiniridium,Iridium,A variety of Iridium rich in Platinum.
Platinoshuangfengite,Shuangfengite,A Pt-rich variety of Shuangfengite.
Platosmiridium,Rutheniridosmine,Rare variety of hexagonal Rutheniridosmine with Pt instead of Ru.
Plumalsite,,"Named for the composition (Pb, Al, Si)"
Plumballophane,Allophane,A variety of Allophane containing PbO.
Plumbeine,,Due to its chemical composition
Plumbian Ferdowsiite,Ferdowsiite,A lead-bearing variety of ferdowsiite.
Plumbian Keithconnite,Keithconnite,A lead-bearing variety of keithconnite.
Plumboagardite,Agardite,As the lead (plumbo) analog of agardite.
Plumboan Aragonite,Aragonite,A variety of Aragonite
Plumboan Calcite,Calcite,A lead-bearing variety of calcite.
Plumboan Rhabdophane-(Ce),Rhabdophane-(Ce),A lead-bearing to -rich variety of rhabdophane-(Ce).
Plumbobetafite (of Hogarth 1977),Pyrochlore Group,"Ostensibly for its content of lead, PLUMBum, and relation to other betafite members of the pyrochlore group."
Plumbodolomit,Dolomite,A Pb-bearing variety of dolomite.
Plumboelsmoreite,Elsmoreite,As a Pb variety of elsmoreite
Plumboferrite,,"From the Latin for lead, PLUMBum, and FERROus iron in its composition."
Plumbogummite,,From the Latin for lead
Plumbojarosite,Jarosite,"As the lead, plumbum, analog of jarosite."
Plumbomicrolite,Microlite,"For lead, PLUMBum, in its composition, and its relation to microlite."
Plumbomicrolite (of Bindi 2006),Microlite,Lead-rich microlite
Plumbomicrolite (of Hogarth 1977),Microlite,Name for a plumboan member of the microlite-pyrochlore family
Plumbonacrite,,From the Latin for lead
Plumbopalladinite,Palladinite,For the chemical composition.
Plumbopharmacosiderite,Pharmacosiderite,For the chemical composition.
Plumbophyllite,Phyllite,The mineral is named for its essential Pb content and its silicate sheet structure (Greek <U+03C6><U+03CD><U+03BB><U+03BB><U+03BF><U+03BD> = leaf).
Plumbopyrochlore (of Atencio et al.),Pyrochlore Group,Lead-rich pyrochlore
Plumbopyrochlore (of Skorobogatova et al.),Pyrochlore Group,Lead-rich pyrochlore
Plumboselite,,"For the mineral;s essential chemical composition, plumbo (for lead) and sel (for selenite)."
Plumbostannite,,For the chemical composition due to its high content of Pb and Sn
Plumbosynadelphite,Synadelphite,A superfluous name for plumbian synadelphite.
Plumbotellurite,,"For lead, plumbum, and tellurium in the composition."
Plumbotsumite,,"For lead, PLUMBum, in the mineral's composition"
Polyarsite,,"""poly"" means ""many"": the mineral is named to address its being an arsenate of many elements"
Polylithionite,,In allusion to its high LITHIum content.
Polyphite,,"For PHosphorus, for the multiple phosphate anions in the chemical formula."
Potassic-arfvedsonite,Arfvedsonite,Named as the K-dominant analogue of arfvedsonite
Potassic-chloro-hastingsite,Hastingsite,The hastingsite-group minerals
Potassic-chloro-pargasite,Pargasite,Potassic-chloro-pargasite is defined as a pargasite group member
Potassic-chloro-sadanagaite,Sadanagaite,The sadanagaite group minerals
Potassic-eckermannite,Eckermannite,For the composition and relationship to eckermannite.
Potassic-ferri-katophorite,Ferro-ferri-katophorite,The katophorite group minerals
Potassic-ferri-leakeite,Leakeite,The Leakeite group minerals
Potassic-ferri-sadanagaite,Ferri-sadanagaite,For the composition and relationship to ferri-sadanagaite.
Potassic-ferri-taramite,Ferri-taramite,For the composition and relationship to taramite.
Potassic-ferro-chloro-edenite,Edenite,The edenite group minerals
Potassic-ferro-chloro-sadanagaite,Sadanagaite,The sadanagaite group minerals
Potassic-ferro-ferri-katophorite,Ferro-ferri-katophorite,The katophorite group minerals
Potassic-ferro-ferri-sadanagaite,Sadanagaite,The sadanagaite group minerals
Potassic-ferro-ferri-taramite,Taramite,As a K and Fe analogue of Taramite
Potassic-ferro-pargasite,Pargasite,Potassic-ferro-pargasite is defined as a pargasite group member
Potassic-ferro-richterite,Ferro-richterite,For the composition and relationship to richterite.
Potassic-ferro-sadanagaite,Sadanagaite,The sadanagaite group minerals
Potassic-ferro-taramite,Taramite,The taramite group minerals
Potassic-fluoro-hastingsite,Hastingsite,For its composition and relationship to hastingsite.
Potassic-fluoro-katophorite,Fluoro-katophorite,The katophorite group minerals
Potassic-fluoro-pargasite,Pargasite,"Signifies an amphibole in the compositional range of pargasite with F > OH, Cl and K dominant in the A structural site."
Potassic-fluoro-richterite,Richterite,For its relationship to richterite.
Potassic-hastingsite,Hastingsite,Named as the K-dominant analog of hastingsite.
Potassic-jeanlouisite,,For the composition and relationship to richterite.
Potassic-leakeite,Leakeite,Named as the K-dominant analog of leakeite.
Potassic-magnesio-arfvedsonite,Arfvedsonite,The arfvedsonite group minerals
Potassic-magnesio-fluoro-arfvedsonite,Arfvedsonite,The arfvedsonite group minerals
Potassic-magnesio-hastingsite,Hastingsite,The hastingsite-group minerals
Potassic-Magnesiosadanagaite,Magnesiosadanagaite,For the composition and relationship to magnesiosadanagaite.
Potassic-mangani-leakeite,Leakeite,The Leakeite group minerals
Potassic-mangano-mangani-ungarettiite,Ungarettiite,"Potassic-mangano-mangani-ungarettiite is a ungarettiite root name amphibole in the WO2- dominant amphibole group with K as the dominant element in the A position, Mn2+ as the dominant element in the C2+ position and Mn3+ as the dominant element in the C3+ position."
Potassic-pargasite,Pargasite,Potassic-pargasite is defined as a pargasite group member
Potassic-richterite,Richterite,For the composition and relationship to richterite.
Potassic-sadanagaite,Sadanagaite,The sadanagaite group minerals
Potassiccarpholite,Carpholite,For the composition and relationship to carpholite.
Prasochrome,,A variety of Calcite rich in chromium oxide
Protojoséite,Joséite,As a variety of Joséite
Pseudoboleite,Boleite,"For boleite, as it was mistaken for that species."
Pseudobrookite,Brookite,"For brookite, as it was for some time thought to be that mineral."
Pseudocotunnite,Cotunnite,For the mineral's supposed resemblance to cotunnite.
Pseudograndreefite,Grandreefite,For its relation to grandreefite.
Pseudojohannite,Johannite,For its relation to johannite.
Pseudolaueite,Laueite,"For its relation to laueite, as it is not that species."
Pseudolyonsite,Lyonsite,"For its relation to lyonsite, as it is not that species."
Pseudomalachite,Malachite,as the mineral closely resembles malachite.
Pseudomarkeyite,Markeyite,Named for its relation to markeyite.
Pseudomeisserite-(NH4),Meisserite,Due to its chemical relation to Meisserite and NH4 content
Pseudorutile,Rutile,For its relation to rutile.
Pseudosinhalite,Sinhalite,in recognition of its close relation to sinhalite.
Pseudothuringite,Thuringite,As a variety of Thuringite
Pumpellyite-(Al),Pumpellyite,For its membership in the pumpellyite group and dominant Al content.
Pumpellyite-(Fe2+),Pumpellyite,For its membership in the pumpellyite group and dominant ferrous iron content.
Pumpellyite-(Fe3+),Pumpellyite,For its membership in the pumpellyite group and dominant ferric iron content.
Pumpellyite-(Mg),Pumpellyite,For its membership in the pumpellyite group and dominant Mg content.
Pumpellyite-(Mn2+),Pumpellyite,For its membership in the pumpellyite group and dominant manganous manganese content.
Pyrophosphite,,Named after the element name - Phosphorus.
Pyrosmalite-(Fe),Pyrosmalite,For its high Fe iron content and relation to pyrosmalite
Pyrosmalite-(Mn),Pyrosmalite,For its high manganese content and relation to pyrosmalite
Pyroxferroite,Pyroxmangite,"From PYROXene and FERROus iron, and for its relation to pyroxmangite."
Pyroxmangite,,"A combination of PYROXene and MANGanese, in allusion to the mineral's structure and composition."
Quadridavyne,Davyne,
Quadruphite,,"For four, and PHosphorus, for the four phosphate anions in the chemical formula."
Quadruphite-VII,,Named for the element phosphorus
Radian Barite,Baryte,"A ""variety"" of baryte containing trace amounts of radium."
Ramanite-(Cs),Ramanite Root,For a relation to Ramanite and Cs content
Ramanite-(Rb),Ramanite Root,For a relation to Ramanite and Rb content
Rathite-IV,Rathite,Possibly a separate species form Rathite
Rauvite,,"For the chemical elements RAdium, Uranium, and Vanadium."
Rb-rich Lepidolite,Lepidolite,A variety of Lepidolite enriched in Rubidium.
Rémondite-(Ce),Rémondite Root,For the predominance of cerium over other rare-earth elements in the composition and relation to Rémondite
Rémondite-(La),Rémondite Root,"For its relation to Rémondite, and the predominance of lanthanum over other rare-earth elements in the composition."
Resinite,,consisting of resinous compounds
Retzian-(Ce),Retzian,"For its dominant rare earth, cerium, and relation to retzian"
Retzian-(La),Retzian,"For its dominant rare earth, lanthanum, and relation to retzian"
Retzian-(Nd),Retzian,"For its dominant rare earth, neodymium, and relation to retzian"
Rhabdophane-(Ce),Rhabdophane,"For the characteristic bands due to cerium in its emission spectrum, and the dominant rare earth, cerium."
Rhabdophane-(La),Rhabdophane,"For its dominant rare earth, lanthanum, and relation to rhabdophane"
Rhabdophane-(Nd),Rhabdophane,"For the dominant rare earth, neodymium, and relation to rhabdophane"
Rhabdophane-(Y),Rhabdophane,As the Y-dominant analog of rhabdophane
Rhenian Molybdenite,Molybdenite,A rhenium-bearing variety of molybdenite
Rheniite,,"Named after the element ""rhenium""."
Rhodarsenide,,Named after its chemical composition of rhodium and arsenic.
Rhodic Ferroplatinum,Ferroan Platinum,Rh-bearing Ferroan Platinum.
Rhodic Nevyanskite,Nevyanskite,A variety of Nevyanskite (iridosmine containing over 40 percent of iridium) containing Rhodium
Rhodic Platinum,Platinum,A rhodian Platinum with 4.6% Rh.
Rhodite,,"In allusion to its composition, containing RHODium."
Rhodostannite,Stannite,
Rhodplumsite,,"For rhodium and lead, plumbum, in the composition."
Rinkite-(Y),Rinkite-(Ce),As a La analougue of Rinkite-(Ce)
Rozhdestvenskayaite-(Zn),,As a Zn variety of Tetrahedrite group
Ruarsite,,"For the chemical composition RUthenium, ARsenic, and Sulfur."
Rubicline,Microcline,The name reflects its compositional and structural attributes as the rubidium analog of microcline.
Rubidian Muscovite,Muscovite,Rubidium-bearing muscovite with Rb2O contents of 1 and more mass%.
Ruthenarsenite,,For RUTHENium and ARSENic in the composition.
Rutheniridium,Iridium,Originally a ruthenium-rich variety of Iridium
Rutheniridosmine,,"For RUTHENium, IRIDium, and OSMium in the composition; the name applied to hexagonal alloys with Ir dominant."
Ruthenosmiridium,Iridium,A variety of iridium rich in ruthenium and osmium.
Samarskite-(Y),Samarskite,Named as the Y-dominant analogue of samarskite.
Samarskite-(Yb),Samarskite,Named as the Yb-dominant analogue of samarskite.
Saryarkite-(Y),,for its high yttrium content.
Sazhinite-(Ce),Sazhinite,"In allusion to its relationship to Sazhinite, and its composition, with Cerium being the dominant rare earth element cation."
Sazhinite-(La),Sazhinite,"In allusion to its relationship to Sazhinite, and its composition, with lanthanum being the dominant rare earth element cation."
Sc-Perrierite,Perrierite,A Perrierite with 4% Sc2O3
Scandian Ixiolite (of Bergstøl & Juve),Ixiolite,A scandium-rich variety of ixiolite.
Scandian Ixiolite (of von Knorring),Ixiolite,A variety of Ixiolite
Scandiobabingtonite,Babingtonite,"The name reflects its composition, as the scandium analogue of Babingtonite."
Scandium Microlite (of Bergstøl & Juve),Microlite,A Sc-bearing microlite group mineral.
Se-free Junoite,Junoite,A selenium-free variety of junoite.
Se-free Proudite,Proudite,A variety of Proudite
Selen-tellurium,Tellurium,Se-bearing tellurium.
Selenian Covellite,Covellite,A variety of Covellite
Selenian Galena,Galena,A selenium-bearing variety of galena.
Selenian kobellite,Kobellite,A variety of Kobellite
Selenian Metacinnabar,Metacinnabar,A selenium-bearing variety of metacinnabar.
Selenian Stibnite,Stibnite,A variety of Stibnite
Selenian Sulphur,Sulphur,A Se-bearing variety of sulphur.
Seleniferous Famatinite,Famatinite,A selenium-bearing variety of famatinite with up to 23.89% (w/w) of selenium
Selenojalpaite,Jalpaite,As the selenium (seleno) analog of jalpaite.
Selenopolybasite,Polybasite,The selenium dominant analogue of polybasite.
Selenostephanite,Stephanite,"For selenium in the composition, and similarity to stephanite."
Sideroplesite,Siderite,Obsolete name for a magnesian variety of siderite with the Fe : Mg atomic ratio ranging from 70 : 30 to 90 : 10.
Silhydrite,,For the SILica and water of HYDRation in its composition.
Silica,,Due to the chemical compostion
Siliceous sinter,Sinter,A variety of Sinter
Silico-ilmenite,Ilmenite,Possibly a solid solution of silica in Ilmenite
Silicocarnotite,Carnotite,Adopts the long-established name for synthetic Ca5(PO4)2(SiO4).
Silicomanganberzeliite,Manganberzeliite,A silicate-bearing manganberzeliite.
Silicomonazite,Monazite,A silicatian Monazite.
Silicon,,For the element Si
Silicorhabdophane,Rhabdophane,A silicatian variety of Rhabdophane
Silinaite,,"For SIlicon, LIthium, and sodium, NAtrium, in the composition."
Sillimullite,Mullite,A mineral intermediate between mullite and sillimanite
Sinoite,,"For SIlicon, Nitrogen, and Oxygen in the composition."
Sitinakite,,"For SIlicon; TItanium; sodium, NAtrium; and potassium, Kalium, in its composition."
Soda Jadeite,Jadeite,A variety of Jadeite
Soda-Augite,Augite,A variety of Augite
Soda-Dehrnite,Dehrnite,A sodian variety of 'Dehrnite' (Carbonate Fluorapatite).
Soda-Dravite,Dravite,A variety of Dravite
Soda-Glauconite,Glauconite,A Sodium-rich variety of Glauconite.
Sodalite,,In allusion to its sodium content.
Sodian Bentonite,Bentonite,A high sodium variety of bentonite.
Sodic-ferri-clinoferroholmquistite,Holmquistite,Named as the sodium-bearing and iron-dominant orthoamphibole resembling holmquistite.
Sodic-Ferripedrizite,Ferri-pedrizite,Due to a sodic content in Ferri-pedrizite
Sodic-ferro-anthophyllite,Ferro-anthophyllite,Named as the sodium-bearing and ferrous-dominant orthoamphibole resembling anthophyllite.
Sodic-ferro-gedrite,Ferro-gedrite,Named as the sodium-bearing and ferrous iron-dominant orthoamphibole resembling gedrite.
Sodic-ferropedrizite,Ferro-pedrizite,As a Na analogue of Ferro-pedrizite
Sodic-gedrite,Gedrite,Named as the sodium-bearing and magnesium-dominant orthoamphibole resembling gedrite.
Sodicanthophyllite,Anthophyllite,Named as the sodium-bearing and magnesium-dominant orthoamphibole resembling anthophyllite.
Sodicpedrizite,Pedrizite,As a Na analogue of Pedrizite
Sodium Autunite,Autunite,In allusion to sodium content
Sodiummetaautunite,Sodium Autunite,Named after sodium autunite with the loss of hydration water
Sphaerobismoite,,bismuth in its composition.
Spherocobaltite,,For cobalt in its composition.
Stannian Chalcopyrite,Chalcopyrite,A tin-bearing variety of chalcopyrite.
Stanniferous Andradite,Andradite,A variety of Andradite
Stanniferous Copper,Copper,Natural copper-tin alloys (i.e. bronzes).
Stanniferous Ludwigite,Ludwigite,"A tin-rich variety of Ludwigite, which may contain up to 12.0% (w/w) of Sn."
Stanniferous Titanite,Titanite,A Tin-bearing Titanite with 10% Sn
Stannoan Grossular,Grossular,A stanniferous variety of grossular.
Stannoenargite,Enargite,Sn-bearing enargite.
Stannoidite,Stannite,For its physical and chemical similarity to stannite.
Stannoluzonite,Luzonite,Sn-bearing variety of luzonite.
Stannomicrolite (of Hogarth 1977),Microlite,"For tin, STANNum, in the composition, and membership in the microlite subgroup of the pyrochlore group."
Stannopalladinite,,"The name reflects its composition: tin (latin ""stannum"") plus palladium."
Stibarsen,,"For the composition, intermediate between antimony, STIBium, and ARSENic."
Stibiobetafite (of Černý et al.),Betafite,"From the Latin for antimony, STIBium, in its composition, and as a member of the betafite subgroup of the pyrochlore group."
Stibioclaudetite,Claudetite,From chemistry and relationship to claudetite.
Stibiocolumbite,Columbite,"From the Latin for antimony, STIBium, in its composition, and relation to columbite."
Stibiocolusite,Colusite,For the composition and relation to colusite
Stibioluzonite (of Schneiderhöhn & Ramdohr),Luzonite,Synonym of Sb-rich luzonite.
Stibioluzonite (of Stevanović),Luzonite,Synonym of Sb-rich luzonite
Stibiomicrolite (of Groat et al.),Microlite,"From the Latin for antimony, STIBIum, in its composition, and membership in the microlite subgroup of the pyrochlore group."
Stibiopalladinite,,"The name reflects its composition: antimony (Greek ""stibi"") and palladium."
Stibiopyrochlore (of Pezzotta et al.),Pyrochlore Group,A variety of Pyrochlore Group
Stibiotantalite,Tantalite,"From the Latin for antimony, STIBIum, in the composition, and relation to tantalite."
Stibivanite,,"From the Latin for antimony, STIBIum, and VANadium in the composition."
Stilbite-Ca,Stilbite,the Ca-dominant member of the stilbite series.
Stilbite-Na,Stilbite,the Na-dominant member of the stilbite series.
Stistaite,,"For the composition, from Greek STIbium, antimony, and STAnnum, tin."
Stronadelphite,,For the element strontium
Stronalsite,,"The name reflects its composition: a strontium, sodium (latin ""natrium""), aluminium silicate"
Strontian Aragonite,Aragonite,A variety of Aragonite
Strontian Baryte,Baryte,A Sr-bearing variety of baryte.
Strontian Calcite,Calcite,A strontian calcite.
Strontian Crandallite,Crandallite,A strontian variety of Crandallite
Strontian Fluorite,Fluorite,Fluorite containing 2-18 mass.% of Sr.
Strontian Natroalunite,Natroalunite,A variety of Natroalunite containing SrO 2.81%.
Strontian Piemontite,Piemontite,A strontian variety of Piemontite.
Strontian Potassicrichterite,Potassicrichterite,A Sr rich variety of Potassicrichterite up to contents Ca/Sr ~ 1/1.
Strontian Thomsonite,Thomsonite,A strontian variety of Thomsonite-Ca
Strontioborite,,For STRONTIum and BORate in the composition.
Strontioburbankite,Burbankite,A variety of Burbankite
Strontiochevkinite,Chevkinite,For the strontium content and relation to chevkinite.
Strontiodresserite,Dresserite,As the strontium analog of dresserite.
Strontiofluorite,Fluorite,As a Sr-dominant analogue of fluorite.
Strontioginorite,Ginorite,As the strontium analog of ginorite.
Strontiohilgardite,Hilgardite,A variety of Hilgardite
Strontiohilgardite-1Tc,Hilgardite-1Tc,A strontium-bearing (strontian) hilgardite-1Tc.
Strontiohurlbutite,Hurlbutite,As a strontium-dominant analog of hurlbutite.
Strontiojoaquinite,Joaquinite,For its strontium content and its relation to joaquinite in contrast to strontio-orthojoaquinite.
Strontiomelane,Cryptomelane,"The strontium analog of cryptomelane. The name alludes to the composition, strontio, and the Greek melas, -anos, for black."
Strontioperloffite,Perloffite,As the strontium analog of perloffite.
Strontiopharmacosiderite,Pharmacosiderite,As the strontium analog of pharmacosiderite.
Strontiopyrochlore (of Hogarth 1977),Pyrochlore Group,Named as the strontium analogue of pyrochlore.
Strontioruizite,Ruizite,Named for being the strontium analogue of ruizite.
Strontiowhitlockite,Whitlockite,As the strontium analog of whitlockite.
Strontium Perrierite,Perrierite,Intermediate member of Perrierite-(Ce) - Rengeite-(Ce) series of solid solutions.
Strontium-Apatite,Apatite,As a strontium-dominant member of the apatite group; see fluorapatite.
Struvite-(K),Struvite,As the potassium equivalent of struvite.
Sulfhydrylbystrite,Bystrite,For the presence of sulphhydryl (SH) group and relation to bystrite.
Sulfoborite,,In allusion to sulphur and boron in the composition.
Sulfurite,Sulphur,A mixture of metastable allotropes of native sulphur which slowly reverts to crystalline alpha-sulphur
Sulphatapatit,Fluorapatite,Presumably a sulfate-bearing fluorapatite.
Sulphohalite,Halite,"In allusion to sulphur and sodium chloride, (halite), in the composition, neglecting fluorine, the presence of which was unnoticed in the original analysis of type material."
Sulphotsumoite,Tsumoite,In allusion to the chemical relation to tsumoite.
Sulvanite,,For the composition: SULfur and VANadium.
Synchysite-(Ce),Synchysite,"The suffix ""-(Ce)"" was added by the IMA due to the dominance of cerium in the composition."
Synchysite-(La),Synchysite,"The suffix ""-(La)"" was added by the IMA due to the dominance of cerium in the composition."
Synchysite-(Nd),Synchysite,"the ""-(Nd)"" suffix due to the dominance of neodymium in the composition."
Synchysite-(Y),Synchysite,For its relation to synchysite and dominant yttrium.
Taipingite-(Ce),,Due to high Ce content
Talkapatit,Apatite,A name applied to an apparent magnesian variety of Apatite.
Talktriplite,Triplite,A magnesian variety of Triplite.
Tantalaeschynite-(Y),Aeschynite,For an aeschynite with TANTALum greater than titanium in the composition and with yttrium as the dominant rare-earth element.
Tantalcarbide,,in reference to its composition: tantalum and carbon.
Tantalite-(Fe),Tantalite,"For its dominant content of FERROus iron, and relation to Tantalite"
Tantalite-(Mg),Tantalite,"For its dominant content of Mg, and relation to Tantalite"
Tantalite-(Mn),Tantalite,"For its dominant MANGANese content, and relation to Tantalite"
Tantalowodginite,Wodginite,Named for the composition and its relation to wodginite.
Tanteuxenite-(Y),Euxenite,"For its relation to euxenite, with TANTalum greater than niobium."
Tantite,,For TANTalum in the composition.
Tapiolite-(Fe),Tapiolite,For its dominant FERROus iron content and relation to Tapiolite
Tapiolite-(Mn),Tapiolite,For its dominant MANGANese content and relation to Tapiolite
Telargpalite,,"For the constituent chemical elements, TELlurium, ARGentum silver, and PALladium."
Tellurantimony,,The name reflects its composition: tellurium and antimony.
Tellurian Canfieldite,Canfieldite,Tellurium-rich variety of canfieldite
Tellurian Ikunolite,Ikunolite,A variety of Ikunolite
Tellurian Tennantite,Tennantite,A tellurium-bearing variety of tennantite.
Tellurite,,For its composition as a TELLURium dioxide.
Tellurobismuthite,,The name reflects its composition: tellurium and bismuth.
Tellurocanfieldite,Canfieldite,A variety of Canfieldite
Tellurohauchecornite,Hauchecornite,Alludes to its chemical relation to the hauchecornite group and Te content
Telluromandarinoite,Mandarinoite,Tellurium analogue of mandarinoite.
Telluronevskite,Nevskite,From the similarity to Nevskite and Te content
Telluropalladinite,,For TELLURium and PALLADium in the composition.
Telluroperite,Perite,Named as the tellurium analog of perite
Tennantite-(Fe),Tennantite,As a Fe variety of Tennantite
Tennantite-(Zn),Tennantite,As a Zn variety of Tennantite
Testibiopalladite,,"For TEllurium, antimony (STIBium), and PALLADium in the composition."
Tetraferriannite,,The ferric iron analogue of annite
Tetraferriphlogopite,,For the Fe3+ analog of phlogopite.
Tetraferroplatinum,,"For iron, FERRum, and PLATINUM in its composition."
Tetrahedrite-(Fe),Tetrahedrite,As a Fe variety of Tetrahedrite
Tetrahedrite-(Hg),Tetrahedrite,Named for being the Hg analogue of tetrahedrite-(Zn) and -(Fe).
Tetrahedrite-(Zn),Tetrahedrite,As a Zn variety of Tetrahedrite
Tewite,,for chemical composition with tellurium Te and tungsten W
Thalcusite,,"For the constituents THALlium; CUprum, copper; and Sulfur."
Thalfenisite,,"For the principal constituents, THALlium, FErrum for iron, NI for nickel, and Sulfur."
Thallian Arsenian Pyrite,Pyrite,A variety of Pyrite
Thallian Carnotite,Carnotite,Thallium bearing variety of Carnotite.
Thallian Cryptomelane,Cryptomelane,A thallium-bearing cryptomelane
Thallian Murunskite,Murunskite,A variety of Murunskite containing up to 29% (w/w) of Thallium.
Thalliomelane,Cryptomelane,"For its relation (Tl analogy) to other supergroup members, cryptomelane and strontiomelane"
Thalliumpharmacosiderite,Pharmacosiderite,As a member of Pharmacosiderite Group
Thermessaite-(NH4),Thermessaite,For being the NH4-analogue of thermessaite.
Thermonatrite,,"For natron, as the dehydration product from heating natron."
Thomsonite-Ca,,The suffix -Ca denotes the dominance of calcium in the mineral.
Thomsonite-Sr,Thomsonite-Ca,The strontium analogue of Thomsonite-Ca.
Thorasphite,,"For its chemical composition - Th, As, and P"
Thorbastnäsite,Bastnäsite,For a thorium-bearing mineral chemically similar to bastnäsite.
Thorian Britholite-(Ce),Britholite-(Ce),A variety of Britholite-(Ce)
Thorian Curite,Curite,A variety of Curite
Thorian Uraninite,Uraninite,A variety of Uraninite
Thorianite,,For THORium in the composition.
Thoriopyrochlore (of Hogarth 1977),Pyrochlore Group,Th-rich pyrochlore
Thorite,,"For its content of thorium, in turn named for Thor, Scandinavian god of war."
Thornasite,,"For THORium, sodium or NAtrium, and SIlicon in its composition."
Thorogummite,,Named for its thorium content
Thorosteenstrupine,Steenstrupine,The name reflects its thorium content and expected similitarity to steenstrupine.
Thorsite,,Due to its chemical composition
Thorutite,,"For the composition, THORium, Uranium, and TItanium."
Thucholite,,"Acronym for Thorium, Uranium, Carbon and Hydrogen (TH, U, C, H)."
Tietaiyangite,,From the chinese for Iron Titanium Oxide
Tinaksite,,"For the Ti, Na, K, Si in the composition."
Tisinalite,,"For TItanium, SIlicon, and sodium, NAtrium, in the composition."
Tistarite,,"Name is derived from the word ""star"", and the composition ""Ti"", implying that this new mineral is likely a condensate among the first solids formed in the solar system at the birth of our star."
Titan-låvenite,Låvenite,A variety of Låvenite
Titan-uranoan Fluorcalciomicrolite,Fluorcalciomicrolite,A variety of Fluorcalciomicrolite
Titan-uranoan Oxycalciopyrochlore,Oxycalciopyrochlore,A variety of Oxycalciopyrochlore
Titanclinohumite,Clinohumite,A Ti-bearing variety of Clinohumite.
Titanian Andalusite,Andalusite,A titanium-bearing andalusite.
Titanian Augite,Augite,A Ti-rich variety of Augite
Titanian Berthierine,Berthierine,A titanium-bearing berthierine.
Titanian Biotite,Biotite,Ti variety of Biotite
Titanian Jadeite,Jadeite,A variety of Jadeite
Titanian Omphacite,Omphacite,A variety of Omphacite
Titanian Potassian Richterite,Richterite,"Ti,K-enriched variety"
Titanian Pyrope,Pyrope,A Ti variety of Pyrope
Titanian Samarskite-(Y),Samarskite-(Y),A variety of Samarskite-(Y) containing up to 10 mas. % of TiO2
Titaniferous Chromite,Chromite,A titanium-bearing variety of chromite.
Titaniferous Magnetite,Magnetite,A titanium-bearing variety of magnetite.
Titanite,,for its titanium content
Titanium,,Named for the element.
Titanium Quartz,Quartz,Quartz crystals artificially coated with titanium to give a dark metallic blue sheen.
Titanmelanite,Melanite,A black Ti-bearing andradite (cf. also melanite)
Titano-spinel,Spinel,A variety of Spinel
Titanoan Aegirine,Aegirine,A variety of Aegirine
Titanoan Andradite,Andradite,A variety of Andradite
Titanocolumbite,Columbite,A presumed titanium-bearing variety of columbite.
